2022-05-03 13:36:41.649 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration long -> org.hibernate.type.BasicTypeReference@4234d05
2022-05-03 13:36:41.649 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@4234d05
2022-05-03 13:36:41.649 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration float -> org.hibernate.type.BasicTypeReference@3f3a59ac
2022-05-03 13:36:41.649 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration float -> org.hibernate.type.BasicTypeReference@3f3a59ac
2022-05-03 13:36:41.649 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@3f3a59ac
2022-05-03 13:36:41.649 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration double -> org.hibernate.type.BasicTypeReference@3afc99
2022-05-03 13:36:41.649 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration double -> org.hibernate.type.BasicTypeReference@3afc99
2022-05-03 13:36:41.649 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.lang.Double -> org.hibernate.type.BasicTypeReference@3afc99
2022-05-03 13:36:41.650 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration big_integer -> org.hibernate.type.BasicTypeReference@72777e31
2022-05-03 13:36:41.650 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.math.BigInteger -> org.hibernate.type.BasicTypeReference@72777e31
2022-05-03 13:36:41.650 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration big_decimal -> org.hibernate.type.BasicTypeReference@6c225e1f
2022-05-03 13:36:41.650 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.math.BigDecimal -> org.hibernate.type.BasicTypeReference@6c225e1f
2022-05-03 13:36:41.650 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration character -> org.hibernate.type.BasicTypeReference@1b89d0e
2022-05-03 13:36:41.650 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration char -> org.hibernate.type.BasicTypeReference@1b89d0e
2022-05-03 13:36:41.650 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.lang.Character -> org.hibernate.type.BasicTypeReference@1b89d0e
2022-05-03 13:36:41.650 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration character_nchar -> org.hibernate.type.BasicTypeReference@56b17794
2022-05-03 13:36:41.651 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration string -> org.hibernate.type.BasicTypeReference@1ffe1d85
2022-05-03 13:36:41.651 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.lang.String -> org.hibernate.type.BasicTypeReference@1ffe1d85
2022-05-03 13:36:41.651 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration nstring -> org.hibernate.type.BasicTypeReference@61526ac3
2022-05-03 13:36:41.651 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration characters -> org.hibernate.type.BasicTypeReference@24c7db0a
2022-05-03 13:36:41.651 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration char[] -> org.hibernate.type.BasicTypeReference@24c7db0a
2022-05-03 13:36:41.651 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration [C -> org.hibernate.type.BasicTypeReference@24c7db0a
2022-05-03 13:36:41.652 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration wrapper-characters -> org.hibernate.type.BasicTypeReference@799715d1
2022-05-03 13:36:41.652 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.BasicTypeReference@799715d1
2022-05-03 13:36:41.652 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration Character[] -> org.hibernate.type.BasicTypeReference@799715d1
2022-05-03 13:36:41.652 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration text -> org.hibernate.type.BasicTypeReference@166a2d53
2022-05-03 13:36:41.653 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration ntext -> org.hibernate.type.BasicTypeReference@649c592f
